Date, blocks , btc , stockflow, price , market_cap, active_addresses 
1/7/2010,7875,3571800,0.5,0.1,250026,401
1/8/2010,6016,3872600,0.7,0.1,232356,620
1/9/2010,5545,4149850,0.9,0.1,248991,603
1/10/2010,5895,4444600,0.9,0.2,844474,847
1/11/2010,5909,4740050,1,0.2,995411,597
1/12/2010,5608,5020450,1.1,0.3,1506135,1109
1/1/2011,5161,5278500,1.3,0.5,2744820,1077
1/2/2011,5566,5556800,1.3,0.9,4778848,1916
1/3/2011,4902,5801900,1.5,0.8,4525482,5194
1/4/2011,5088,6056300,1.6,3.5,21197050,3279
1/5/2011,6739,6393250,1.2,8.7,55621275,7490
1/6/2011,6256,6706050,1.4,16,107296800,13981
1/7/2011,4914,6951750,1.9,13,90372750,30214
1/8/2011,4373,7170400,2.3,9,64533600,23757
1/9/2011,4157,7378250,2.5,5.4,39473638,16984
1/10/2011,3749,7565700,2.8,3.4,25632592,12999
1/11/2011,4137,7772550,2.6,3,22998975,12768
1/12/2011,4585,8001800,2.5,5,39968991,14028
1/1/2012,4744,8239000,2.5,5.7,46550350,11446
1/2/2012,4355,8456750,2.8,4.9,41438075,14973
1/3/2012,4669,8690200,2.7,5,43016490,16144
1/4/2012,4210,8900700,3,5,44503500,12758
1/5/2012,4414,9121400,3,5.2,47340066,20030
1/6/2012,4535,9348150,3,6.7,62567168,29059
1/7/2012,4773,9586800,2.9,9.4,90499392,31700
1/8/2012,4879,9830750,2.9,10.8,106525024,40722
1/9/2012,4695,10065500,3.1,12.5,125567012,44980
1/10/2012,4608,10295900,3.3,11.1,114696326,37976
1/11/2012,4431,10517450,3.5,12.7,133045743,31735
1/12/2012,4213,10622775,7.5,13.6,144363512,34731
1/1/2013,4444,10733875,7.2,21.4,230026941,37846
1/2/2013,4658,10850325,7,33.5,363485996,64410
1/3/2013,5343,10983900,6.1,92.5,1016010860,63070
1/4/2013,4967,11108075,6.7,139.1,1545233205,75734
1/5/2013,4977,11232500,6.8,127.3,1430354637,83564
1/6/2013,5208,11362700,6.5,96.5,1096500550,67761
1/7/2013,5365,11496825,6.4,105,1206655591,68676
1/8/2013,5837,11642750,6,132.8,1545575063,114305
1/9/2013,5627,11783425,6.3,125.8,1482354865,57000
1/10/2013,6199,11938400,5.8,201.6,2406900824,89788
1/11/2013,5187,12068075,7,1120,13515761277,87053
1/12/2013,5621,12208600,6.6,731,8924486600,166644
1/1/2014,5472,12345400,6.8,802.5,9907183500,97260
1/2/2014,4902,12467950,7.7,578,7206101062,135007
1/3/2014,5113,12595775,7.5,457,5756269175,181720
1/4/2014,5030,12721525,7.7,449,5711964725,179680
1/5/2014,5039,12847500,7.7,620.5,7971231375,154473
1/6/2014,5120,12975500,7.7,620,8044810000,191153
1/7/2014,4732,13093800,8.4,586,7672966800,186221
1/8/2014,5127,13221975,7.9,478,6319839611,174616
1/9/2014,4738,13340425,8.6,382.7,5104980435,191798
1/10/2014,4670,13457175,8.8,323,4346667525,211997
1/11/2014,4424,13567775,9.4,376,5100940689,173719
1/12/2014,4498,13680225,9.3,295,4035666375,216010
1/1/2015,4531,13793500,9.3,229.7,3168366950,141683
1/2/2015,4219,13898975,10.1,253,3516162696,252411
1/3/2015,4551,14012750,9.4,242.9,3403977230,276725
1/4/2015,4254,14119100,10.2,235.1,3319823983,268253
1/5/2015,4465,14230725,9.8,232,3300816664,222862
1/6/2015,4382,14340275,10.1,262.5,3764752396,310813
1/7/2015,4583,14454850,9.7,284.8,4116452183,309193
1/8/2015,4595,14569725,9.7,230.9,3364732292,298805
1/9/2015,4469,14681450,10.1,237.9,3492863770,307795
1/10/2015,4560,14795450,10,330,4882498500,298058
1/11/2015,4649,14911675,9.9,372.5,5555046288,392575
1/12/2015,5063,15038250,9.1,429.3,6456522255,413030
1/1/2016,4867,15159925,9.6,376,5700131800,316727
1/2/2016,4552,15273725,10.4,436,6659344100,600635
1/3/2016,4578,15388175,10.4,416,6401480800,564999
1/4/2016,4459,15499650,10.7,469,7269335850,505319
1/5/2016,4620,15615150,10.4,531,8291644650,431043
1/6/2016,4465,15726775,10.9,671,10552666025,508356
1/7/2016,4365,15781338,22.5,628,9910679950,494905
1/8/2016,4649,15839450,21.2,574,9091844300,515927
1/9/2016,4547,15896288,21.7,609,9680839088,486458
1/10/2016,4544,15953088,21.8,702,11199067425,498339
1/11/2016,4513,16009500,22.1,777,12439381500,602670
1/12/2016,4692,16068150,21.3,968,15553969200,596125
1/1/2017,4912,16129550,20.4,964,15548886200,463524
1/2/2017,4255,16182738,23.7,1191,19273640363,790453
1/3/2017,4632,16240638,21.8,1070,17377482125,681438
1/4/2017,4438,16296113,22.9,1350,21999751875,639653
1/5/2017,4852,16356763,21,2298,37587840225,707250
1/6/2017,4471,16412650,22.9,2458,40342293700,838148
1/7/2017,4886,16473725,21,2855,47032484875,642954
1/8/2017,4406,16528800,23.4,4734,78247339200,477477
1/9/2017,4855,16589488,21.3,4329,71815891388,782822
1/10/2017,4818,16649713,21.5,6445,1.07E+11,624785
1/11/2017,4374,16704388,23.8,9948,1.66E+11,960573
1/12/2017,5029,16767250,20.8,13863,2.32E+11,1116245
1/1/2018,5055,16830438,20.8,10099,1.70E+11,966713
1/2/2018,4369,16885050,24.1,10307,1.74E+11,842407
1/3/2018,4655,16943238,22.7,6928,1.17E+11,877430
1/4/2018,4610,17000863,23,9243,1.57E+11,532380
1/5/2018,4717,17059825,22.6,7485,1.28E+11,574760
1/6/2018,4600,17117325,23.2,6383,1.09E+11,587640
1/7/2018,4646,17175400,23.1,7727,1.33E+11,591220
1/8/2018,4803,17235438,22.4,7015,1.21E+11,636000
1/9/2018,4419,17290675,24.5,6605,1.14E+11,617880
1/10/2018,4379,17345413,24.8,6304,1.09E+11,645330
1/11/2018,3870,17393788,28.1,4039,70253507713,712630
1/12/2018,4375,17448475,25,3692,64419769700,618300
1/1/2019,4525,17505038,24.2,3411,59709682913,591590
1/2/2019,4125,17556600,26.6,3792,66574627200,641020
1/3/2019,4480,17612600,24.6,4000,70450400000,687890
